,Shots,Goals,Takeaways,Hits,Blocked Shots,Giveaways,Missed Shots,Penalities,#Won Faceoffs,HoA_away,HoA_home,startRinkSide_left,startRinkSide_right
12444,8.0,0.0,3.0,9.0,2.0,0.0,5.0,2.0,8.0,1,0,1,0
12445,16.0,2.0,3.0,1.0,3.0,3.0,2.0,1.0,18.0,0,1,1,0
12446,11.0,1.0,3.0,14.0,5.0,3.0,6.0,2.0,10.0,1,0,0,1
12447,22.0,2.0,1.0,7.0,9.0,4.0,12.0,0.0,10.0,0,1,0,1
12448,5.0,1.0,0.0,9.0,4.0,1.0,3.0,1.0,14.0,1,0,1,0
12449,12.0,2.0,2.0,13.0,6.0,3.0,5.0,1.0,16.0,0,1,1,0
12450,9.0,0.0,3.0,17.0,4.0,3.0,4.0,3.0,7.0,1,0,0,1
12451,8.0,1.0,2.0,9.0,4.0,4.0,6.0,1.0,5.0,0,1,0,1
12452,7.0,3.0,1.0,5.0,9.0,4.0,4.0,1.0,16.0,1,0,0,1
12453,11.0,0.0,2.0,7.0,3.0,3.0,2.0,2.0,11.0,0,1,0,1
12454,8.0,0.0,3.0,6.0,4.0,1.0,4.0,1.0,8.0,1,0,0,1
12455,9.0,1.0,1.0,10.0,4.0,3.0,5.0,1.0,11.0,0,1,0,1
12456,10.0,0.0,2.0,9.0,5.0,2.0,8.0,0.0,5.0,1,0,1,0
12457,9.0,0.0,3.0,5.0,6.0,5.0,2.0,0.0,7.0,0,1,1,0
12458,7.0,1.0,1.0,6.0,1.0,2.0,3.0,2.0,12.0,1,0,0,1
12459,18.0,1.0,3.0,5.0,5.0,3.0,3.0,1.0,8.0,0,1,0,1
12460,11.0,1.0,1.0,11.0,1.0,0.0,2.0,1.0,4.0,1,0,1,0
12461,14.0,0.0,4.0,8.0,3.0,3.0,6.0,1.0,8.0,0,1,1,0
12462,13.0,1.0,1.0,11.0,6.0,2.0,2.0,3.0,9.0,1,0,0,1
12463,10.0,0.0,0.0,13.0,6.0,2.0,7.0,2.0,8.0,0,1,0,1
12464,8.0,0.0,2.0,8.0,8.0,7.0,5.0,1.0,9.0,1,0,0,1
12465,10.0,0.0,2.0,1.0,4.0,11.0,3.0,2.0,15.0,0,1,0,1
12466,4.0,1.0,1.0,8.0,10.0,1.0,3.0,2.0,5.0,1,0,0,1
12467,9.0,1.0,1.0,6.0,3.0,0.0,3.0,3.0,10.0,0,1,0,1
12468,11.0,0.0,1.0,8.0,5.0,1.0,2.0,2.0,13.0,1,0,0,1
12469,6.0,3.0,1.0,19.0,9.0,3.0,1.0,1.0,5.0,0,1,0,1
12470,12.0,0.0,4.0,8.0,7.0,3.0,2.0,3.0,8.0,1,0,1,0
12471,6.0,1.0,2.0,13.0,6.0,3.0,1.0,3.0,9.0,0,1,1,0
12472,17.0,1.0,0.0,2.0,7.0,2.0,2.0,2.0,14.0,1,0,1,0
12473,8.0,0.0,1.0,7.0,3.0,3.0,3.0,1.0,17.0,0,1,1,0
12474,12.0,1.0,0.0,5.0,2.0,8.0,3.0,1.0,9.0,1,0,1,0
12475,2.0,0.0,0.0,8.0,6.0,2.0,2.0,3.0,8.0,0,1,1,0
12476,7.0,1.0,1.0,6.0,7.0,2.0,0.0,1.0,9.0,1,0,1,0
12477,6.0,2.0,3.0,7.0,3.0,3.0,6.0,0.0,11.0,0,1,1,0
12478,7.0,1.0,0.0,7.0,0.0,2.0,3.0,0.0,5.0,1,0,0,1
12479,5.0,0.0,0.0,9.0,0.0,4.0,3.0,1.0,9.0,0,1,0,1
12480,14.0,1.0,3.0,5.0,9.0,1.0,3.0,2.0,11.0,1,0,1,0
12481,11.0,1.0,3.0,3.0,1.0,3.0,1.0,1.0,10.0,0,1,1,0
12482,12.0,0.0,2.0,10.0,10.0,5.0,1.0,0.0,11.0,1,0,1,0
12483,7.0,0.0,1.0,10.0,6.0,4.0,3.0,0.0,7.0,0,1,1,0
12484,12.0,1.0,1.0,8.0,1.0,4.0,5.0,1.0,12.0,1,0,0,1
12485,8.0,0.0,0.0,10.0,6.0,6.0,1.0,1.0,10.0,0,1,0,1
12486,7.0,0.0,0.0,7.0,3.0,6.0,2.0,2.0,8.0,1,0,1,0
12487,8.0,2.0,1.0,17.0,1.0,2.0,7.0,1.0,11.0,0,1,1,0
12488,8.0,2.0,4.0,5.0,5.0,0.0,5.0,1.0,8.0,1,0,1,0
12489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0
12490,12.0,0.0,0.0,11.0,1.0,2.0,5.0,0.0,10.0,0,1,1,0
12491,5.0,0.0,2.0,12.0,6.0,2.0,7.0,3.0,9.0,1,0,1,0
12492,8.0,1.0,4.0,15.0,1.0,4.0,9.0,2.0,11.0,0,1,1,0
12493,14.0,1.0,1.0,9.0,2.0,0.0,3.0,2.0,7.0,1,0,1,0
12494,8.0,0.0,4.0,7.0,3.0,4.0,5.0,2.0,13.0,0,1,1,0
12495,3.0,2.0,3.0,7.0,4.0,4.0,5.0,2.0,10.0,1,0,0,1
12496,5.0,1.0,4.0,13.0,1.0,1.0,0.0,3.0,14.0,0,1,0,1
12497,9.0,1.0,0.0,8.0,7.0,4.0,3.0,3.0,12.0,1,0,1,0
12498,8.0,0.0,0.0,9.0,5.0,0.0,8.0,0.0,8.0,0,1,1,0
12499,7.0,2.0,2.0,11.0,6.0,1.0,3.0,2.0,13.0,1,0,1,0
12500,15.0,1.0,6.0,5.0,6.0,0.0,3.0,2.0,5.0,0,1,1,0
12501,8.0,0.0,2.0,6.0,5.0,1.0,6.0,1.0,12.0,1,0,1,0
12502,4.0,0.0,3.0,8.0,2.0,3.0,3.0,1.0,10.0,0,1,1,0
12503,10.0,0.0,1.0,17.0,2.0,3.0,2.0,1.0,13.0,1,0,0,1
